State,District,Market,Commodity,Variety,Grade,observations,start_date,end_date,calendar_span_days,median_gap_days,max_gap_days,consecutive_day_pairs,continuity_pct
Keralam,Palakad,Vadakkenchery Market,Cabbage,Cabbage,FAQ,241,2025-11-08,2026-09-02,299,1.0,3.0,187,77.91666666666667
Gujarat,Morbi,Morbi APMC,Cabbage,Cabbage,FAQ,231,2025-11-08,2026-08-29,295,1.0,7.0,179,77.82608695652173
NCT of Delhi,Delhi,APMC Azadpur,Cabbage,Cabbage,FAQ,208,2025-11-10,2026-09-03,298,1.0,27.0,161,77.77777777777779
Gujarat,Mehsana,Mehsana(Mehsana Veg) APMC,Cabbage,Cabbage,Local,238,2025-11-08,2026-09-03,300,1.0,5.0,184,77.63713080168776
Himachal Pradesh,Una,SMY Santoshgarh,Cabbage,Cabbage,FAQ,229,2025-11-11,2026-09-03,297,1.0,5.0,177,77.63157894736842
Keralam,Kottayam,Pala Market,Cabbage,Cabbage,FAQ,220,2025-11-13,2026-09-03,295,1.0,7.0,170,77.6255707762557
Maharashtra,Chattrapati Sambhajinagar,APMC Chattrapati Sambhajinagar,Cabbage,Other,Local,235,2025-11-09,2026-09-03,299,1.0,5.0,181,77.35042735042735
Haryana,Kurukshetra,Thanesar APMC,Cabbage,Cabbage,Local,234,2025-11-10,2026-09-03,298,1.0,4.0,180,77.25321888412017
Maharashtra,Pune,APMC Pune,Cabbage,Other,Local,229,2025-11-09,2026-09-04,300,1.0,6.0,176,77.19298245614034
NCT of Delhi,Delhi,APMC Keshopur,Cabbage,Cabbage,FAQ,229,2025-11-08,2026-09-03,300,1.0,5.0,176,77.19298245614034
Keralam,Alappuzha,Aroor Market,Cabbage,Other,FAQ,234,2025-11-08,2026-09-03,300,1.0,5.0,179,76.82403433476395
Keralam,Ernakulam,Angamaly Market,Cabbage,Cabbage,FAQ,224,2025-11-08,2026-09-03,300,1.0,6.0,171,76.68161434977578
Keralam,Ernakulam,Thrippunithura Market,Cabbage,Cabbage,Medium,231,2025-11-08,2026-09-03,300,1.0,3.0,176,76.52173913043478
Punjab,Ludhiana,Khanna APMC,Cabbage,Other,Grade A,222,2025-11-19,2026-09-03,289,1.0,4.0,169,76.47058823529412
Karnataka,Kolar,Kolar APMC,Cabbage,Cabbage,Local,192,2025-11-13,2026-09-03,295,1.0,27.0,146,76.43979057591623
Himachal Pradesh,Hamirpur,PMY Hamirpur,Cabbage,Cabbage,Grade B,224,2025-11-10,2026-09-03,298,1.0,5.0,170,76.23318385650224
Keralam,Kozhikode(Calicut),Quilandy Market,Cabbage,Other,FAQ,235,2025-11-08,2026-09-03,300,1.0,4.0,178,76.06837606837607
Karnataka,Shivamogga,Shimoga APMC,Cabbage,Cabbage,Local,189,2025-11-10,2026-09-04,299,1.0,40.0,143,76.06382978723404
Punjab,Jalandhar,Adampur APMC,Cabbage,Cabbage,FAQ,218,2025-11-17,2026-09-03,291,1.0,8.0,165,76.036866359447
Haryana,Sirsa,Sirsa APMC,Cabbage,Other,FAQ,188,2025-11-15,2026-09-02,292,1.0,21.0,142,75.93582887700535
Keralam,Palakad,Palakkad Market,Cabbage,Cabbage,FAQ,233,2025-11-10,2026-09-03,298,1.0,4.0,176,75.86206896551724
Gujarat,Gir Somnath,Talalagir APMC,Cabbage,Cabbage,FAQ,206,2025-11-17,2026-09-01,289,1.0,14.0,155,75.60975609756098
Keralam,Malappuram,Manjeri Market,Cabbage,Other,Local,210,2025-11-09,2026-09-01,297,1.0,5.0,158,75.5980861244019
Keralam,Kollam,Anchal Market,Cabbage,Cabbage,Medium,201,2025-11-12,2026-09-04,297,1.0,15.0,151,75.5
Tamil Nadu,Kancheepuram,Kancheepuram(Uzhavar Sandhai ),Cabbage,Cabbage,Local,183,2025-11-08,2026-08-22,288,1.0,24.0,137,75.27472527472527
Himachal Pradesh,Chamba,PMY Chamba,Cabbage,Cabbage,Medium,206,2025-11-08,2026-09-02,299,1.0,14.0,154,75.1219512195122
Keralam,Kasargod,Kanjangadu Market,Cabbage,Cabbage,FAQ,226,2025-11-10,2026-09-02,297,1.0,5.0,169,75.1111111111111
Keralam,Alappuzha,Chengannur Market,Cabbage,Other,FAQ,224,2025-11-14,2026-09-04,295,1.0,4.0,167,74.88789237668162
Keralam,Kollam,Kottarakkara Market,Cabbage,Other,Local,212,2025-11-11,2026-09-03,297,1.0,7.0,158,74.88151658767772
Karnataka,Chikkaballapur,Gauribidanur APMC,Cabbage,Cabbage,Local,198,2025-11-10,2026-09-03,298,1.0,16.0,147,74.61928934010153
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Cabbage,Cabbage,Local,201,2025-11-11,2026-09-03,297,1.0,10.0,149,74.5
Maharashtra,Pune,APMC Khed,Cabbage,Other,Local,212,2025-11-12,2026-09-03,296,1.0,5.0,157,74.40758293838863
Maharashtra,Pune,Pune(Khadiki),Cabbage,Other,Local,212,2025-11-09,2026-09-03,299,1.0,7.0,157,74.40758293838863
Himachal Pradesh,Kangra,SMY Dharamshala,Cabbage,Cabbage,FAQ,204,2025-12-04,2026-09-03,274,1.0,3.0,151,74.38423645320196
Keralam,Ernakulam,Aluva Market,Cabbage,Cabbage,FAQ,215,2025-11-10,2026-09-03,298,1.0,5.0,159,74.29906542056075
Himachal Pradesh,Hamirpur,SMY Nadaun,Cabbage,Other,Grade B,214,2025-11-12,2026-09-03,296,1.0,7.0,158,74.17840375586854
Maharashtra,Solapur,APMC Akluj,Cabbage,Other,Local,224,2025-11-08,2026-09-03,300,1.0,5.0,165,73.99103139013454
Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Cabbage,Cabbage,Grade B,220,2025-11-10,2026-09-03,298,1.0,7.0,162,73.97260273972603
Jammu and Kashmir,Srinagar,Parimpore Srinagar (F&V),Cabbage,Other,FAQ,196,2025-11-10,2026-07-28,261,1.0,4.0,144,73.84615384615385
Uttarakhand,Udhamsinghnagar,Rudrapur APMC,Cabbage,Other,Medium,212,2025-11-11,2026-09-03,297,1.0,8.0,155,73.45971563981043
Keralam,Kottayam,Ettumanoor Market,Cabbage,Cabbage,FAQ,212,2025-11-14,2026-09-03,294,1.0,6.0,154,72.98578199052133
Himachal Pradesh,Una,PMY Una,Cabbage,Cabbage,Local,215,2025-11-10,2026-09-02,297,1.0,5.0,156,72.89719626168224
Keralam,Kozhikode(Calicut),Mukkom Market,Cabbage,Cabbage,FAQ,222,2025-11-17,2026-09-03,291,1.0,4.0,161,72.85067873303167
Maharashtra,Solapur,APMC Solapur,Cabbage,Other,Local,222,2025-11-08,2026-09-03,300,1.0,8.0,160,72.39819004524887
Gujarat,Bharuch,Ankleshwar APMC,Cabbage,Cabbage,Grade A,213,2025-11-09,2026-09-03,299,1.0,7.0,153,72.16981132075472
Haryana,Faridabad,Ballabhgarh APMC,Cabbage,Other,FAQ,213,2025-11-09,2026-09-03,299,1.0,5.0,153,72.16981132075472
Odisha,Rayagada,Rayagada APMC,Cabbage,Cabbage,Local,195,2025-11-11,2026-09-03,297,1.0,6.0,140,72.16494845360825
