State,District,Market,Commodity_Group,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Unit,Arrival_Quantity,Arrival_Unit,Date
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-11
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2026-01-12
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-13
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.24,Metric Tonnes,2026-01-14
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.19,Metric Tonnes,2026-01-15
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2026-01-16
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.19,Metric Tonnes,2026-01-17
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-18
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.25,Metric Tonnes,2026-01-19
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.25,Metric Tonnes,2026-01-20
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-21
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.19,Metric Tonnes,2026-01-22
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-23
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.25,Metric Tonnes,2026-01-24
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.26,Metric Tonnes,2026-01-25
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2026-01-26
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.22,Metric Tonnes,2026-01-27
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-28
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-01-29
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2026-01-30
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.19,Metric Tonnes,2026-01-31
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-01
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-02
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2026-02-03
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-04
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-05
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2026-02-06
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.19,Metric Tonnes,2026-02-07
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-08
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.18,Metric Tonnes,2026-02-09
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-10
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.19,Metric Tonnes,2026-02-11
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-12
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.19,Metric Tonnes,2026-02-13
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.21,Metric Tonnes,2026-02-14
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-15
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2500,3000,2750,Rs./Quintal,0.2,Metric Tonnes,2026-02-16
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,1500,2000,1750,Rs./Quintal,0.22,Metric Tonnes,2026-02-17
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,1500,2000,1750,Rs./Quintal,0.21,Metric Tonnes,2026-02-18
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,1500,2000,1750,Rs./Quintal,0.22,Metric Tonnes,2026-02-19
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,1500,2000,1750,Rs./Quintal,0.2,Metric Tonnes,2026-02-20
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,1500,2000,1750,Rs./Quintal,0.22,Metric Tonnes,2026-02-21
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,1500,2000,1750,Rs./Quintal,0.2,Metric Tonnes,2026-02-22
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,1500,2000,1750,Rs./Quintal,0.21,Metric Tonnes,2026-02-23
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-02-24
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-02-25
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.23,Metric Tonnes,2026-02-26
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.24,Metric Tonnes,2026-02-27
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.25,Metric Tonnes,2026-02-28
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.26,Metric Tonnes,2026-03-01
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.25,Metric Tonnes,2026-03-02
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.26,Metric Tonnes,2026-03-03
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.25,Metric Tonnes,2026-03-04
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.21,Metric Tonnes,2026-03-05
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.2,Metric Tonnes,2026-03-06
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.21,Metric Tonnes,2026-03-07
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Vegetables,Cabbage,Cabbage,Local,2000,2500,2250,Rs./Quintal,0.22,Metric Tonnes,2026-03-08
